route_iata_code,Month,total_flights,departures,arrivals,landed,active,scheduled,total_dep_delay,total_dep_delay_15,total_on_time_15,short_delay,medium_delay,long_delay,total_calc_sft,total_calc_aft,total_flight_distance_km,commercial,private,cargo,morning_dep,afternoon_dep,evening_dep,morning_arr,afternoon_arr,evening_arr,avg_tavg_dep,total_prcp_dep,avg_snow_dep,avg_wdir_dep,avg_wspd_dep,avg_wpgt_dep,avg_pres_dep,total_tsun_dep,avg_tavg_arr,total_prcp_arr,avg_snow_arr,avg_wdir_arr,avg_wspd_arr,avg_wpgt_arr,avg_pres_arr,total_tsun_arr,total_passengers
BRU-LIS,2023-02,265,132,133,124,132,9,8509.0,221,33,44,204,17,45325.0,41894.0,455137.5,265,0,0,170,61,34,56,127,82,5.66,105.0,0.0,197.8566037735849,13.063018867924528,31.178490566037734,1028.2822641509433,0.0,11.41811320754717,300.40000000000003,0.0,121.28679245283018,12.052075471698114,30.08,1023.156603773585,0.0,38522
BRU-LIS,2023-03,304,151,153,116,152,36,14332.0,266,36,38,206,60,51993.0,49655.0,522120.0,304,0,0,178,73,53,71,134,99,7.605921052631579,1129.9,0.0,202.65131578947367,17.12236842105263,40.18059210526316,1010.1411184210527,0.0,14.69934210526316,211.7,0.0,203.29276315789474,10.812828947368422,29.39638157894737,1020.346052631579,0.0,44331
BRU-LIS,2023-04,348,172,176,157,172,18,11172.0,257,79,91,223,34,59727.0,56556.0,597690.0,348,0,0,164,125,59,112,124,112,8.687931034482759,837.0,0.0,162.11494252873564,12.523850574712645,33.811494252873565,1016.6206896551724,0.0,18.212068965517243,162.2,0.0,210.11206896551724,11.582471264367815,32.68706896551724,1017.6272988505747,0.0,50040
BRU-LIS,2023-05,326,160,166,147,162,17,10811.0,270,52,56,240,30,55853.0,51898.0,559905.0,317,7,2,165,113,48,122,102,102,13.256748466257669,612.6,0.0,170.76687116564418,10.58159509202454,29.307055214723928,1021.1616564417178,0.0,19.096319018404905,74.1,0.0,214.76687116564418,13.93435582822086,37.930061349693254,1016.9300613496932,0.0,49470
BRU-LIS,2023-06,359,177,182,164,178,17,11760.0,296,57,63,267,29,61463.0,58067.0,616582.5,353,4,2,178,119,62,123,127,109,19.486350974930364,358.3,0.0,135.72980501392757,9.440389972144846,28.48523676880223,1017.5150417827299,0.0,21.853481894150416,227.89999999999998,0.0,293.18105849582173,14.035933147632312,37.761559888579384,1014.9465181058496,0.0,47047
BRU-LIS,2023-07,365,178,187,165,179,21,11096.0,296,59,69,273,23,62554.0,60172.0,626887.5,361,4,0,185,117,63,124,129,112,18.405479452054795,1176.5,0.0,234.2931506849315,14.523287671232877,36.837534246575345,1013.0093150684933,0.0,21.94109589041096,8.0,0.0,339.64109589041095,15.212602739726028,37.8,1018.0772602739727,0.0,50725
BRU-LIS,2023-08,359,173,186,175,174,10,9222.0,256,96,103,242,14,61640.0,58393.0,616582.5,359,0,0,179,119,61,119,122,118,18.048467966573813,1005.7,0.0,214.84122562674094,11.649025069637883,30.2966573816156,1014.2384401114206,0.0,23.892479108635097,0.0,0.0,276.3844011142061,14.640947075208915,37.99025069637883,1017.2986072423398,0.0,50464
BRU-LIS,2023-09,353,172,181,168,172,13,9891.0,260,85,93,237,23,60518.0,57136.0,606277.5,349,2,2,178,114,61,114,131,108,18.546742209631727,921.1,0.0,170.5127478753541,9.958356940509915,26.271388101983,1016.3623229461757,0.0,21.342209631728046,387.8,0.0,194.73654390934846,11.356940509915015,32.57535410764873,1015.5266288951842,0.0,51735
BRU-LIS,2023-10,357,174,183,168,174,15,10747.0,274,69,83,248,26,60994.0,58044.0,613147.5,342,7,8,185,116,56,118,145,94,13.764145658263306,1328.8,0.0,199.13165266106444,15.115406162464986,33.98823529411764,1009.9064425770307,0.0,20.499439775910364,1174.0,0.0,202.6358543417367,12.062464985994398,33.88207282913165,1014.9481792717087,0.0,51835
BRU-LIS,2023-11,250,124,126,114,124,12,7522.0,197,43,53,177,20,42646.0,40448.0,429375.0,234,0,16,177,68,5,60,131,59,8.0084,1134.0,0.0,215.06,18.98,42.0084,1006.1152,0.0,15.648399999999999,347.7,0.0,188.976,10.6488,30.2528,1020.3836,0.0,32089
BRU-LIS,2023-12,256,126,130,114,126,16,6969.0,196,53,60,181,15,43496.0,41272.0,439680.0,233,9,14,175,75,6,59,133,64,6.9390625,586.4,0.0,223.84765625,19.244140625,40.382421875,1013.78984375,0.0,11.8578125,284.6,0.0,138.828125,9.846875,28.974609375,1025.265625,0.0,29888
BRU-LPA,2023-01,54,27,27,26,27,1,948.0,24,28,30,24,0,15000.0,14087.0,164732.4,54,0,0,42,12,0,17,37,0,6.007407407407407,157.8,0.0,182.03703703703704,19.75185185185185,43.492592592592594,1016.1555555555556,0.0,18.98888888888889,23.4,0.0,239.8148148148148,21.91111111111111,0.0,1024.1555555555556,0.0,8804
BRU-LPA,2023-02,46,23,23,21,23,2,1489.0,29,11,17,25,4,12634.0,11933.0,140327.6,44,0,2,32,14,0,13,27,6,6.3,31.4,0.0,231.1304347826087,13.952173913043477,33.48695652173913,1027.2,0.0,17.482608695652175,42.8,0.0,260.7826086956522,15.504347826086958,0.0,1019.7304347826087,0.0,8024
BRU-LPA,2023-03,41,18,23,21,18,2,1260.0,29,10,12,25,4,11370.0,10764.0,125074.59999999999,41,0,0,31,10,0,16,20,5,7.280487804878049,134.6,0.0,222.9512195121951,15.439024390243903,37.619512195121956,1012.0926829268293,0.0,20.578048780487805,1.5,0.0,50.78048780487805,29.041463414634148,0.0,1019.0463414634147,0.0,8356
BRU-LPA,2023-04,80,38,42,40,38,2,2712.0,65,13,15,58,7,23051.0,21458.0,244048.0,78,2,0,51,29,0,30,43,7,8.855,190.0,0.0,178.15,12.010000000000002,32.95125,1016.4174999999999,0.0,20.9075,3.6,0.0,77.3625,28.847500000000004,0.0,1016.2362499999999,0.0,13779
BRU-LPA,2023-05,68,33,35,32,33,3,2338.0,47,15,21,39,8,19550.0,18274.0,207440.8,68,0,0,36,32,0,16,46,6,13.345588235294118,118.6,0.0,166.05882352941177,10.375,28.95,1021.1808823529412,0.0,21.579411764705885,2.6,0.0,158.05882352941177,30.97205882352941,0.0,1018.1367647058823,0.0,12194
BRU-LPA,2023-06,70,35,35,32,35,3,1929.0,42,26,28,36,6,20114.0,18956.0,213542.0,68,2,0,47,23,0,20,48,2,19.47142857142857,68.4,0.0,130.8,9.385714285714286,28.308571428571426,1017.7257142857143,0.0,23.86,3.8,0.0,99.45714285714286,23.302857142857142,0.0,1015.58,0.0,11087
BRU-LPA,2023-07,90,44,46,40,45,5,2398.0,62,19,28,56,6,25627.0,24499.0,274554.0,88,2,0,50,40,0,29,60,1,18.68111111111111,289.6,0.0,226.3111111111111,14.15,36.62222222222222,1012.8377777777777,0.0,25.270000000000003,0.0,0.0,63.2,42.34444444444444,0.0,1017.7188888888888,0.0,15147
BRU-LPA,2023-08,84,41,43,41,41,2,2616.0,53,31,31,46,7,23950.0,22493.0,256250.4,84,0,0,48,36,0,26,53,5,18.229761904761904,242.2,0.0,217.3452380952381,11.41547619047619,29.617857142857144,1014.5,0.0,26.464285714285715,3.0,0.0,91.11904761904762,36.81785714285714,0.0,1015.3345238095238,0.0,14729
BRU-LPA,2023-09,70,35,35,33,35,2,2191.0,50,20,20,40,10,20150.0,18983.0,213542.0,68,2,0,40,30,0,16,49,5,18.425714285714285,176.0,0.0,167.22857142857143,9.774285714285716,25.608571428571427,1016.5342857142856,0.0,24.968571428571426,14.599999999999998,0.0,56.22857142857143,25.982857142857142,0.0,1017.1057142857142,0.0,12000
BRU-LPA,2023-10,77,39,38,36,39,2,2203.0,58,18,19,50,8,22078.0,20796.0,234896.19999999998,74,0,3,42,35,0,22,47,8,13.583116883116885,304.1,0.0,199.84415584415584,16.14155844155844,35.51298701298701,1007.761038961039,0.0,25.893506493506493,19.4,0.0,156.1818181818182,16.88831168831169,0.0,1016.0545454545454,0.0,13005
BRU-LPA,2023-11,60,30,30,30,30,0,1332.0,40,20,20,39,1,16910.0,15883.0,183036.0,60,0,0,36,24,0,18,38,4,7.996666666666667,255.0,0.0,208.43333333333334,18.970000000000002,41.60666666666667,1003.7566666666667,0.0,22.83,26.4,0.0,203.5,23.523333333333333,0.0,1019.39,0.0,8537
BRU-LPA,2023-12,60,30,30,30,30,0,1182.0,32,26,28,32,0,16810.0,15817.0,183036.0,60,0,0,38,22,0,22,32,6,7.39,137.2,0.0,231.4,20.509999999999998,42.53333333333333,1013.7800000000001,0.0,20.076666666666664,127.6,0.0,207.3,15.326666666666666,0.0,1022.0333333333333,0.0,9242
BRU-LYS,2023-01,148,74,74,72,74,2,2698.0,76,66,72,75,1,12112.0,10716.0,85425.6,114,0,34,86,10,52,86,10,52,5.5060810810810805,426.2,0.0,197.76351351351352,19.616891891891893,42.57364864864864,1016.145945945946,0.0,5.28581081081081,202.6,0.9459459459459459,210.39864864864865,14.308108108108108,39.604729729729726,1021.2087837837837,0.0,12423
BRU-LYS,2023-02,137,68,69,68,68,1,2842.0,87,42,50,85,2,11187.0,9860.0,79076.40000000001,105,0,32,79,10,48,79,10,48,5.575182481751824,54.0,0.0,197.7810218978102,13.097080291970803,30.878102189781025,1027.67299270073,0.0,6.050364963503649,25.4,0.0,226.79562043795622,11.100729927007299,31.778102189781023,1027.7328467153284,0.0,11458
BRU-LYS,2023-03,148,74,74,72,74,2,3142.0,82,56,66,79,3,12153.0,10795.0,85425.6,118,0,30,75,20,53,74,21,53,7.804054054054054,449.2,0.0,193.27027027027026,17.19054054054054,39.513513513513516,1011.6891891891892,0.0,9.95945945945946,404.0,0.0,221.63513513513513,16.262162162162163,47.71621621621622,1016.5162162162162,0.0,13152
BRU-LYS,2023-04,181,89,92,88,90,3,4278.0,116,59,65,107,9,15213.0,13325.0,104473.20000000001,149,0,32,90,43,48,90,43,48,8.495027624309392,442.5,0.0,155.59116022099448,12.682872928176796,34.10883977900552,1016.6618784530386,0.0,11.267403314917127,239.6,0.0,257.5966850828729,12.726519337016574,38.9767955801105,1016.1441988950277,0.0,15951
BRU-LYS,2023-05,196,95,101,97,97,2,4230.0,125,59,71,122,3,16510.0,14558.0,113131.20000000001,162,0,34,94,51,51,94,51,51,13.06530612244898,417.7,0.0,162.77551020408163,10.74387755102041,29.460714285714285,1021.3403061224491,0.0,16.338775510204083,231.5,0.0,308.3520408163265,13.775510204081632,40.041836734693874,1016.755612244898,0.0,17479
BRU-LYS,2023-06,175,86,89,81,86,8,4737.0,122,39,53,111,11,14645.0,12901.0,101010.00000000001,136,2,37,97,29,49,97,29,49,19.326285714285714,232.5,0.0,142.74857142857144,9.62742857142857,28.605142857142855,1017.4240000000001,0.0,22.16857142857143,559.1,0.0,232.4857142857143,11.920571428571428,42.32914285714286,1014.8068571428572,0.0,15768
BRU-LYS,2023-07,143,72,71,68,72,3,3719.0,95,36,48,88,7,11995.0,10610.0,82539.6,112,0,31,93,0,50,93,0,50,18.256643356643355,443.8,0.0,236.71328671328672,14.351748251748253,36.58041958041958,1013.2825174825174,0.0,23.686713286713285,210.6,0.0,188.04195804195805,11.620979020979021,41.15174825174825,1015.3195804195805,0.0,12328
BRU-LYS,2023-08,146,70,76,74,71,1,2979.0,94,52,52,91,3,12198.0,10694.0,84271.20000000001,110,2,34,95,0,51,95,0,51,17.972602739726028,370.6,0.0,214.8835616438356,11.552739726027397,30.14041095890411,1013.9979452054795,0.0,23.88013698630137,138.7,0.0,208.1986301369863,12.085616438356164,40.40068493150685,1014.9205479452054,0.0,12648
BRU-LYS,2023-09,164,80,84,84,80,0,3765.0,115,43,49,110,5,13697.0,11868.0,94660.8,130,0,34,91,26,47,91,25,48,18.68841463414634,405.9,0.0,177.0487804878049,10.077439024390245,26.792073170731705,1016.020731707317,0.0,22.00487804878049,231.29999999999998,0.0,174.96951219512195,11.233536585365853,35.707926829268295,1016.8231707317074,0.0,14400
BRU-LYS,2023-10,171,85,86,81,85,5,3973.0,107,54,64,99,8,14253.0,12594.0,98701.20000000001,137,0,34,94,24,53,94,24,53,13.769590643274853,692.2,0.0,195.69005847953215,14.634502923976608,33.19415204678362,1009.2099415204679,0.0,16.67543859649123,1015.0,0.0,183.05847953216374,14.967836257309942,46.32514619883041,1013.1187134502924,0.0,14552
BRU-LYS,2023-11,149,73,76,73,73,3,3389.0,95,46,54,87,8,12291.0,10748.0,86002.8,113,0,36,85,14,50,85,14,50,7.980536912751678,624.2,0.0,215.13422818791946,19.032214765100672,42.04026845637584,1006.6657718120806,0.0,8.934228187919464,681.9,0.0,169.5234899328859,14.657718120805368,45.48523489932886,1014.0234899328859,0.0,11888
BRU-LYS,2023-12,150,75,75,71,75,4,4140.0,98,48,52,87,11,12482.0,10955.0,86580.0,116,2,32,84,20,46,85,20,45,6.841333333333334,326.0,0.0,221.62666666666667,18.99,40.15133333333333,1012.8493333333333,0.0,5.8406666666666665,366.7,0.0,174.15333333333334,12.236,40.108666666666664,1020.2526666666666,0.0,12669
BRU-MAD,2023-01,504,251,253,241,257,6,12018.0,291,192,213,275,16,73958.0,66119.0,662054.3999999999,500,4,0,260,66,178,146,161,197,5.474603174603174,1405.8,0.0,190.04365079365078,19.43968253968254,42.347023809523805,1016.1599206349206,0.0,5.594444444444444,163.6,0.0,234.94246031746033,11.189880952380951,0.0,1024.6214285714286,0.0,72822
BRU-MAD,2023-02,475,237,238,238,237,0,10094.0,290,171,185,283,7,69610.0,61659.0,623960.0,465,8,2,241,72,162,142,155,178,5.667157894736842,204.3,0.0,197.70947368421054,13.197052631578948,31.457684210526313,1027.9928421052632,0.0,5.975157894736841,31.400000000000002,0.0,215.34526315789475,7.957052631578947,0.0,1025.7728421052632,0.0,75428
