name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Brussels,Belgium",2023-09-15,24,11.7,17.6,24,11.7,17.6,12.3,73.4,0,0,0,,0,0,18,10.4,115,1017.3,18.7,9.9,200.6,17.4,7,10,2023-09-15T07:17:17,2023-09-15T19:57:37,0,Clear,Clear conditions throughout the day.,clear-day,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-09-16,25.5,13.9,19.2,25.5,13.9,19.2,14.9,77.4,0.08,100,8.33,rain,0,0,42.3,24.2,111.9,1013.4,38.7,10,136.3,11.7,7,10,2023-09-16T07:18:50,2023-09-16T19:55:22,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-09-17,23.5,18,20,23.5,18,20,18.2,89.8,1.779,100,20.83,rain,0,0,35.7,10.6,121.8,1011.7,82.4,8.1,91,7.7,5,10,2023-09-17T07:20:23,2023-09-17T19:53:06,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-09-18,23.3,15.9,19.2,23.3,15.9,19.2,16,82.1,0.829,100,12.5,rain,0,0,57.5,32.2,205.3,1005.4,62.7,9.7,133.8,11.5,7,10,2023-09-18T07:21:56,2023-09-18T19:50:50,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-09-19,19,13.7,16.3,19,13.7,16.3,11.7,75.1,0.05,100,8.33,rain,0,0,61.2,30.1,216,1010.9,69.2,14.7,100.2,8.6,4,10,2023-09-19T07:23:29,2023-09-19T19:48:34,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06459099999,D0152,06439099999,06450099999,06447099999,remote,06458099999,06451099999"
"Brussels,Belgium",2023-09-20,21.3,15.9,18.6,21.3,15.9,18.6,13.7,74,0.002,100,4.17,rain,0,0,53.8,25.7,192.8,1006.9,66.4,11.8,93.4,7.9,3,10,2023-09-20T07:25:02,2023-09-20T19:46:19,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06459099999,D0152,06439099999,06450099999,06447099999,remote,06458099999,06451099999"
"Brussels,Belgium",2023-09-21,19.6,13.5,16.6,19.6,13.5,16.6,14.2,87.1,22.891,100,37.5,rain,0,0,49.3,24.4,184.3,998.1,92.5,9.3,23.1,2,1,10,2023-09-21T07:26:36,2023-09-21T19:44:03,0.22,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-09-22,16,10.7,13,16,10.7,13,11,88.3,7.045,100,25,rain,0,0,45.5,19.1,202.1,1001.8,68.4,9.7,74.2,6.5,4,10,2023-09-22T07:28:10,2023-09-22T19:41:47,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-09-23,17.4,10,12.9,17.4,10,12.9,10,83.8,0.218,100,8.33,rain,0,0,32.4,16.7,232.9,1015,34.2,10,123.8,10.5,7,10,2023-09-23T07:29:43,2023-09-23T19:39:31,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
"Brussels,Belgium",2023-09-24,20,8.2,13.8,20,7,13.3,9.1,76.1,0,0,0,,0,0,38.3,20.1,165.3,1023.9,22.1,10,190.6,16.6,7,10,2023-09-24T07:31:17,2023-09-24T19:37:16,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06459099999,D0152,06439099999,06450099999,06447099999,06458099999,06451099999"
